Generation,Drug_PAE,Cancer_vs_Drug_PAE,Cancer_vs_p53_PAE,Fitness_Delta,Drug_pLDDT,Mutations_vs_WT
1,30.0,30.0,30.0,0.0,40.0,0
2,30.0,30.0,30.0,0.0,40.0,0
3,30.0,30.0,30.0,0.0,40.0,0
4,30.0,30.0,30.0,0.0,40.0,0
5,30.0,30.0,30.0,0.0,40.0,0
6,30.0,30.0,30.0,0.0,40.0,0
7,30.0,30.0,30.0,0.0,40.0,0
8,30.0,30.0,30.0,0.0,40.0,0
9,30.0,30.0,30.0,0.0,40.0,0
10,30.0,30.0,30.0,0.0,40.0,0
11,30.0,30.0,30.0,0.0,40.0,0
12,30.0,30.0,30.0,0.0,40.0,0
13,30.0,30.0,30.0,0.0,40.0,0
14,30.0,30.0,30.0,0.0,40.0,0
15,30.0,30.0,30.0,0.0,40.0,0
16,30.0,30.0,30.0,0.0,40.0,0
17,30.0,30.0,30.0,0.0,40.0,0
18,30.0,30.0,30.0,0.0,40.0,0
19,30.0,30.0,30.0,0.0,40.0,0
20,30.0,30.0,30.0,0.0,40.0,0
